Date,NAV
2022-01-03,100.16
2022-01-04,100.84
2022-01-05,98.9
2022-01-06,98.15
2022-01-07,98.75
2022-01-10,97.22
2022-01-11,97.84
2022-01-12,97.2
2022-01-13,96.25
2022-01-14,95.6
2022-01-17,97.2
2022-01-18,97.62
2022-01-19,96.79
2022-01-20,97.64
2022-01-21,98.55
2022-01-24,98.25
2022-01-25,99.29
2022-01-26,100.38
2022-01-27,101.31
2022-01-28,100.71
2022-01-31,99.62
2022-02-01,98.0
2022-02-02,97.43
2022-02-03,97.14
2022-02-04,96.93
2022-02-07,96.97
2022-02-08,98.78
2022-02-09,98.52
2022-02-10,98.55
2022-02-11,96.81
2022-02-14,99.12
2022-02-15,97.89
2022-02-16,97.26
2022-02-17,98.03
2022-02-18,98.36
2022-02-21,100.08
2022-02-22,100.88
2022-02-23,100.88
2022-02-24,102.01
2022-02-25,103.25
2022-02-28,102.67
2022-03-01,103.71
2022-03-02,103.57
2022-03-03,103.54
2022-03-04,103.77
2022-03-07,103.47
2022-03-08,103.11
2022-03-09,104.18
2022-03-10,102.73
2022-03-11,101.75
2022-03-14,102.5
2022-03-15,102.51
2022-03-16,103.58
2022-03-17,104.02
2022-03-18,102.76
2022-03-21,102.91
2022-03-22,103.52
2022-03-23,103.84
2022-03-24,103.45
2022-03-25,103.25
2022-03-28,102.77
2022-03-29,101.53
2022-03-30,100.15
2022-03-31,100.62
2022-04-01,99.82
2022-04-04,100.48
2022-04-05,99.96
2022-04-06,98.73
2022-04-07,98.4
2022-04-08,100.58
2022-04-11,100.56
2022-04-12,101.29
2022-04-13,101.54
2022-04-14,100.21
2022-04-15,101.74
2022-04-18,101.57
2022-04-19,100.34
2022-04-20,99.91
2022-04-21,99.78
2022-04-22,100.61
2022-04-25,100.01
2022-04-26,102.71
2022-04-27,101.86
2022-04-28,102.55
2022-04-29,100.65
2022-05-02,100.61
2022-05-03,101.06
2022-05-04,100.02
2022-05-05,101.6
2022-05-06,102.11
2022-05-09,101.87
2022-05-10,102.38
2022-05-11,101.86
2022-05-12,103.19
2022-05-13,104.29
2022-05-16,104.74
2022-05-17,105.44
2022-05-18,104.04
2022-05-19,105.59
2022-05-20,105.57
2022-05-23,106.67
2022-05-24,107.5
2022-05-25,108.59
2022-05-26,107.62
2022-05-27,106.78
2022-05-30,109.11
2022-05-31,107.67
2022-06-01,106.65
2022-06-02,106.78
2022-06-03,106.9
2022-06-06,106.44
2022-06-07,107.14
2022-06-08,108.12
2022-06-09,108.18
2022-06-10,107.99
2022-06-13,108.05
2022-06-14,107.63
2022-06-15,106.02
2022-06-16,106.4
2022-06-17,107.24
2022-06-20,107.17
2022-06-21,104.98
2022-06-22,104.49
2022-06-23,105.48
2022-06-24,104.12
2022-06-27,104.89
2022-06-28,104.53
2022-06-29,104.59
2022-06-30,103.98
2022-07-01,102.93
2022-07-04,104.44
2022-07-05,105.34
2022-07-06,106.06
2022-07-07,107.05
2022-07-08,107.63
2022-07-11,108.66
2022-07-12,108.08
2022-07-13,109.53
2022-07-14,110.9
2022-07-15,111.36
2022-07-18,111.15
2022-07-19,110.01
2022-07-20,110.32
2022-07-21,112.08
2022-07-22,111.0
2022-07-25,112.1
2022-07-26,111.71
2022-07-27,111.4
2022-07-28,110.31
2022-07-29,109.64
2022-08-01,110.36
2022-08-02,111.21
2022-08-03,111.53
2022-08-04,111.11
2022-08-05,110.09
2022-08-08,110.23
2022-08-09,109.94
2022-08-10,110.23
2022-08-11,109.99
2022-08-12,109.78
2022-08-15,110.02
2022-08-16,110.45
2022-08-17,111.75
2022-08-18,111.49
2022-08-19,112.12
2022-08-22,114.0
2022-08-23,114.66
2022-08-24,115.9
2022-08-25,115.36
2022-08-26,114.72
2022-08-29,114.64
2022-08-30,114.67
2022-08-31,115.82
2022-09-01,115.17
2022-09-02,115.16
2022-09-05,116.31
2022-09-06,116.61
2022-09-07,116.68
2022-09-08,117.0
2022-09-09,115.95
2022-09-12,114.89
2022-09-13,113.38
2022-09-14,113.66
2022-09-15,114.66
2022-09-16,115.51
2022-09-19,116.73
2022-09-20,118.27
2022-09-21,118.49
2022-09-22,118.51
2022-09-23,120.06
2022-09-26,119.44
2022-09-27,118.34
2022-09-28,118.08
2022-09-29,117.71
2022-09-30,117.84
2022-10-03,117.07
2022-10-04,117.52
2022-10-05,117.03
2022-10-06,118.34
2022-10-07,117.22
2022-10-10,117.16
2022-10-11,116.91
2022-10-12,117.22
2022-10-13,118.22
2022-10-14,118.57
2022-10-17,118.52
2022-10-18,119.29
2022-10-19,120.22
2022-10-20,120.57
2022-10-21,121.03
2022-10-24,121.76
2022-10-25,120.2
2022-10-26,119.92
2022-10-27,120.38
