Date,NAV
2022-01-03,100.98
2022-01-04,102.33
2022-01-05,103.06
2022-01-06,102.01
2022-01-07,101.88
2022-01-10,101.96
2022-01-11,102.64
2022-01-12,103.38
2022-01-13,102.73
2022-01-14,102.89
2022-01-17,103.43
2022-01-18,104.97
2022-01-19,105.75
2022-01-20,106.62
2022-01-21,106.78
2022-01-24,108.27
2022-01-25,108.76
2022-01-26,107.98
2022-01-27,109.47
2022-01-28,110.24
2022-01-31,109.88
2022-02-01,109.48
2022-02-02,109.86
2022-02-03,110.4
2022-02-04,110.68
2022-02-07,111.07
2022-02-08,112.85
2022-02-09,114.0
2022-02-10,114.27
2022-02-11,115.29
2022-02-14,114.34
2022-02-15,114.82
2022-02-16,116.71
2022-02-17,116.57
2022-02-18,115.8
2022-02-21,115.23
2022-02-22,114.22
2022-02-23,113.52
2022-02-24,113.22
2022-02-25,111.9
2022-02-28,111.99
2022-03-01,112.98
2022-03-02,112.15
2022-03-03,113.75
2022-03-04,114.34
2022-03-07,115.45
2022-03-08,114.87
2022-03-09,115.81
2022-03-10,114.79
2022-03-11,115.77
2022-03-14,116.02
2022-03-15,116.65
2022-03-16,115.55
2022-03-17,114.74
2022-03-18,115.42
2022-03-21,114.55
2022-03-22,115.09
2022-03-23,113.8
2022-03-24,114.73
2022-03-25,113.58
2022-03-28,114.21
2022-03-29,114.92
2022-03-30,114.3
2022-03-31,114.96
2022-04-01,115.3
2022-04-04,114.84
2022-04-05,113.92
2022-04-06,112.03
2022-04-07,112.46
2022-04-08,110.98
2022-04-11,111.15
2022-04-12,110.97
2022-04-13,111.73
2022-04-14,111.51
2022-04-15,111.26
2022-04-18,112.07
2022-04-19,112.49
2022-04-20,112.88
2022-04-21,113.43
2022-04-22,111.97
2022-04-25,112.81
2022-04-26,113.5
2022-04-27,112.57
2022-04-28,112.4
2022-04-29,112.44
2022-05-02,112.39
2022-05-03,112.8
2022-05-04,114.31
2022-05-05,115.48
2022-05-06,114.24
2022-05-09,114.95
2022-05-10,116.36
2022-05-11,116.82
2022-05-12,117.99
2022-05-13,120.09
2022-05-16,121.19
2022-05-17,121.52
2022-05-18,122.64
2022-05-19,122.87
2022-05-20,122.97
2022-05-23,122.7
2022-05-24,124.34
2022-05-25,123.61
2022-05-26,125.22
2022-05-27,125.8
2022-05-30,124.48
2022-05-31,124.93
2022-06-01,122.91
2022-06-02,123.61
2022-06-03,124.58
2022-06-06,124.06
2022-06-07,124.27
2022-06-08,126.3
2022-06-09,125.88
2022-06-10,124.9
2022-06-13,126.46
2022-06-14,128.5
2022-06-15,128.59
2022-06-16,129.68
2022-06-17,131.1
2022-06-20,130.44
2022-06-21,130.03
2022-06-22,131.34
2022-06-23,133.11
2022-06-24,133.75
2022-06-27,132.95
2022-06-28,135.02
2022-06-29,134.57
2022-06-30,134.31
2022-07-01,134.73
2022-07-04,136.37
2022-07-05,137.3
2022-07-06,137.8
2022-07-07,138.34
2022-07-08,138.46
2022-07-11,139.1
2022-07-12,136.65
2022-07-13,136.44
2022-07-14,136.76
2022-07-15,135.69
2022-07-18,136.15
2022-07-19,136.03
2022-07-20,137.86
2022-07-21,139.52
2022-07-22,139.13
2022-07-25,139.06
2022-07-26,139.07
2022-07-27,138.69
2022-07-28,138.97
2022-07-29,138.29
2022-08-01,137.24
2022-08-02,137.94
2022-08-03,138.65
2022-08-04,137.93
2022-08-05,138.9
2022-08-08,138.35
2022-08-09,138.68
2022-08-10,139.58
2022-08-11,139.63
2022-08-12,140.17
2022-08-15,139.73
2022-08-16,139.61
2022-08-17,139.49
2022-08-18,138.82
2022-08-19,138.72
2022-08-22,137.26
2022-08-23,136.84
2022-08-24,136.64
2022-08-25,136.46
2022-08-26,136.3
2022-08-29,136.32
2022-08-30,136.88
2022-08-31,137.83
2022-09-01,137.26
2022-09-02,136.14
2022-09-05,135.18
2022-09-06,134.77
2022-09-07,134.5
2022-09-08,133.81
2022-09-09,132.59
2022-09-12,132.22
2022-09-13,132.48
2022-09-14,133.15
2022-09-15,132.68
2022-09-16,132.34
2022-09-19,131.5
2022-09-20,131.55
2022-09-21,130.78
2022-09-22,131.43
2022-09-23,129.72
2022-09-26,129.44
2022-09-27,129.83
2022-09-28,130.09
2022-09-29,132.86
2022-09-30,133.29
2022-10-03,132.37
2022-10-04,132.35
2022-10-05,130.66
2022-10-06,130.66
2022-10-07,129.9
2022-10-10,130.9
2022-10-11,130.43
2022-10-12,130.39
2022-10-13,129.84
2022-10-14,131.66
2022-10-17,131.41
2022-10-18,133.33
2022-10-19,134.22
2022-10-20,134.78
2022-10-21,135.23
2022-10-24,135.71
2022-10-25,133.86
2022-10-26,133.66
2022-10-27,134.58
2022-10-28,134.61
2022-10-31,133.29
2022-11-01,133.32
2022-11-02,135.1
2022-11-03,136.43
2022-11-04,136.45
2022-11-07,137.48
2022-11-08,137.19
2022-11-09,135.57
2022-11-10,134.72
2022-11-11,136.37
2022-11-14,136.17
2022-11-15,136.01
2022-11-16,135.79
2022-11-17,137.77
2022-11-18,139.48
2022-11-21,141.78
2022-11-22,141.7
2022-11-23,142.07
2022-11-24,140.64
2022-11-25,142.19
2022-11-28,141.11
2022-11-29,141.4
2022-11-30,140.39
2022-12-01,139.88
2022-12-02,139.12
2022-12-05,138.59
2022-12-06,138.13
2022-12-07,137.66
2022-12-08,138.58
2022-12-09,137.55
2022-12-12,137.85
2022-12-13,139.15
2022-12-14,138.72
2022-12-15,138.08
2022-12-16,137.93
2022-12-19,139.19
2022-12-20,139.46
2022-12-21,139.01
2022-12-22,139.58
2022-12-23,138.55
2022-12-26,139.32
2022-12-27,139.8
2022-12-28,139.58
2022-12-29,138.82
2022-12-30,138.01
2023-01-02,138.63
2023-01-03,139.93
2023-01-04,139.38
2023-01-05,139.92
2023-01-06,137.91
2023-01-09,137.4
2023-01-10,137.45
2023-01-11,136.62
2023-01-12,135.77
2023-01-13,135.18
2023-01-16,135.55
2023-01-17,135.44
2023-01-18,133.29
2023-01-19,131.25
2023-01-20,130.72
2023-01-23,131.26
2023-01-24,128.59
2023-01-25,128.17
2023-01-26,127.72
2023-01-27,129.19
2023-01-30,128.89
2023-01-31,129.35
2023-02-01,129.57
2023-02-02,127.52
2023-02-03,128.37
2023-02-06,128.66
2023-02-07,129.25
2023-02-08,133.26
2023-02-09,131.25
2023-02-10,133.06
2023-02-13,132.85
2023-02-14,133.22
2023-02-15,133.25
2023-02-16,132.91
2023-02-17,132.42
2023-02-20,132.83
2023-02-21,131.39
2023-02-22,132.22
2023-02-23,131.89
2023-02-24,130.84
2023-02-27,130.47
2023-02-28,131.8
2023-03-01,131.35
2023-03-02,131.79
2023-03-03,131.13
2023-03-06,131.97
2023-03-07,132.74
2023-03-08,134.67
2023-03-09,134.57
2023-03-10,135.32
2023-03-13,135.5
2023-03-14,136.87
2023-03-15,136.23
2023-03-16,137.06
2023-03-17,136.95
2023-03-20,136.96
2023-03-21,137.13
2023-03-22,137.46
2023-03-23,137.43
2023-03-24,137.72
2023-03-27,139.38
2023-03-28,140.45
2023-03-29,141.4
2023-03-30,141.02
2023-03-31,140.21
2023-04-03,141.25
2023-04-04,142.2
2023-04-05,143.76
2023-04-06,143.23
2023-04-07,143.08
2023-04-10,141.52
2023-04-11,141.21
2023-04-12,142.29
2023-04-13,141.9
2023-04-14,142.62
2023-04-17,142.51
2023-04-18,142.91
2023-04-19,141.85
2023-04-20,142.01
2023-04-21,139.1
2023-04-24,138.99
2023-04-25,137.44
2023-04-26,138.73
2023-04-27,139.59
2023-04-28,140.13
2023-05-01,141.73
2023-05-02,140.87
2023-05-03,142.69
2023-05-04,143.7
2023-05-05,143.55
2023-05-08,144.76
2023-05-09,143.74
2023-05-10,142.99
2023-05-11,142.46
2023-05-12,142.02
2023-05-15,141.04
2023-05-16,142.34
2023-05-17,142.16
2023-05-18,142.6
2023-05-19,142.11
2023-05-22,140.36
2023-05-23,140.71
2023-05-24,138.88
2023-05-25,138.89
2023-05-26,137.61
2023-05-29,139.67
2023-05-30,140.66
2023-05-31,140.85
2023-06-01,142.19
2023-06-02,141.43
2023-06-05,142.05
2023-06-06,142.33
2023-06-07,142.67
2023-06-08,144.03
2023-06-09,144.84
2023-06-12,145.21
2023-06-13,143.63
2023-06-14,142.75
2023-06-15,142.71
2023-06-16,142.88
2023-06-19,141.83
2023-06-20,144.33
2023-06-21,145.92
2023-06-22,146.6
2023-06-23,146.76
2023-06-26,146.62
2023-06-27,145.75
2023-06-28,145.91
2023-06-29,146.25
2023-06-30,145.09
2023-07-03,145.5
2023-07-04,145.42
2023-07-05,143.6
2023-07-06,142.82
2023-07-07,142.48
2023-07-10,144.45
2023-07-11,145.09
2023-07-12,143.83
2023-07-13,144.4
2023-07-14,142.93
2023-07-17,144.09
2023-07-18,143.7
2023-07-19,143.69
2023-07-20,145.09
2023-07-21,143.89
2023-07-24,142.57
2023-07-25,142.07
2023-07-26,143.18
2023-07-27,141.74
2023-07-28,138.99
2023-07-31,138.62
2023-08-01,139.25
2023-08-02,140.53
2023-08-03,140.15
2023-08-04,139.82
2023-08-07,141.05
2023-08-08,139.26
2023-08-09,138.95
2023-08-10,139.22
2023-08-11,139.75
2023-08-14,139.32
2023-08-15,139.44
2023-08-16,137.03
2023-08-17,136.45
2023-08-18,136.99
2023-08-21,136.08
2023-08-22,136.22
2023-08-23,136.75
2023-08-24,136.49
2023-08-25,136.74
2023-08-28,135.85
2023-08-29,135.73
2023-08-30,136.42
2023-08-31,136.65
2023-09-01,136.15
2023-09-04,136.45
2023-09-05,137.25
2023-09-06,135.28
2023-09-07,136.52
2023-09-08,136.26
2023-09-11,136.77
2023-09-12,138.04
2023-09-13,136.75
2023-09-14,136.12
2023-09-15,135.91
2023-09-18,135.21
2023-09-19,137.02
2023-09-20,136.25
2023-09-21,135.77
2023-09-22,136.06
2023-09-25,134.93
2023-09-26,134.62
2023-09-27,135.02
2023-09-28,134.76
2023-09-29,134.75
2023-10-02,134.3
2023-10-03,132.87
2023-10-04,133.27
2023-10-05,135.1
2023-10-06,135.2
2023-10-09,135.51
2023-10-10,136.28
2023-10-11,135.09
2023-10-12,136.87
2023-10-13,137.15
2023-10-16,138.87
2023-10-17,138.21
2023-10-18,140.11
2023-10-19,140.97
2023-10-20,141.6
2023-10-23,141.91
2023-10-24,141.74
2023-10-25,143.03
2023-10-26,143.25
2023-10-27,141.36
2023-10-30,140.32
2023-10-31,140.22
2023-11-01,140.61
2023-11-02,140.63
2023-11-03,141.93
2023-11-06,140.06
2023-11-07,140.28
2023-11-08,138.54
2023-11-09,139.38
2023-11-10,139.37
2023-11-13,139.87
2023-11-14,139.08
2023-11-15,140.44
2023-11-16,141.56
2023-11-17,142.23
2023-11-20,142.18
2023-11-21,142.84
2023-11-22,142.21
2023-11-23,143.15
2023-11-24,144.88
2023-11-27,146.03
2023-11-28,145.38
2023-11-29,145.82
2023-11-30,144.61
2023-12-01,145.26
2023-12-04,145.79
2023-12-05,144.0
2023-12-06,142.92
2023-12-07,142.71
2023-12-08,142.49
2023-12-11,141.36
2023-12-12,141.83
2023-12-13,142.16
2023-12-14,142.05
2023-12-15,141.37
2023-12-18,142.5
2023-12-19,144.24
2023-12-20,143.84
2023-12-21,143.3
2023-12-22,143.87
2023-12-25,143.6
2023-12-26,143.54
2023-12-27,144.36
2023-12-28,142.53
2023-12-29,143.93
2024-01-01,144.08
2024-01-02,143.75
2024-01-03,143.74
2024-01-04,143.78
2024-01-05,142.13
2024-01-08,143.7
2024-01-09,143.82
2024-01-10,144.35
2024-01-11,145.38
2024-01-12,144.44
2024-01-15,144.99
2024-01-16,144.8
2024-01-17,145.73
2024-01-18,143.68
2024-01-19,143.66
2024-01-22,143.14
2024-01-23,143.65
2024-01-24,144.2
