Date,NAV
2022-01-03,100.37
2022-01-04,99.94
2022-01-05,99.51
2022-01-06,98.39
2022-01-07,100.26
2022-01-10,100.35
2022-01-11,100.2
2022-01-12,99.36
2022-01-13,102.37
2022-01-14,101.38
2022-01-17,101.03
2022-01-18,101.53
2022-01-19,102.21
2022-01-20,103.24
2022-01-21,105.13
2022-01-24,105.72
2022-01-25,104.74
2022-01-26,104.56
2022-01-27,104.95
2022-01-28,107.1
2022-01-31,105.78
2022-02-01,107.06
2022-02-02,107.32
2022-02-03,108.24
2022-02-04,108.22
2022-02-07,107.46
2022-02-08,108.29
2022-02-09,109.02
2022-02-10,110.08
2022-02-11,110.14
2022-02-14,109.62
2022-02-15,108.14
2022-02-16,109.04
2022-02-17,109.55
2022-02-18,108.66
2022-02-21,108.2
2022-02-22,107.82
2022-02-23,106.41
2022-02-24,105.68
2022-02-25,104.62
2022-02-28,104.29
2022-03-01,103.63
2022-03-02,102.08
2022-03-03,104.19
2022-03-04,105.52
2022-03-07,104.82
2022-03-08,105.17
2022-03-09,105.67
2022-03-10,106.94
2022-03-11,106.2
2022-03-14,107.37
2022-03-15,106.91
2022-03-16,105.65
2022-03-17,106.45
2022-03-18,107.82
2022-03-21,110.49
2022-03-22,109.37
2022-03-23,110.15
2022-03-24,109.82
2022-03-25,110.69
2022-03-28,109.29
2022-03-29,108.11
2022-03-30,107.42
2022-03-31,107.58
2022-04-01,107.01
2022-04-04,107.75
2022-04-05,108.86
2022-04-06,109.54
2022-04-07,111.24
2022-04-08,111.73
2022-04-11,110.6
2022-04-12,112.04
2022-04-13,111.52
2022-04-14,112.51
2022-04-15,114.16
2022-04-18,114.7
2022-04-19,113.28
2022-04-20,112.44
2022-04-21,113.84
2022-04-22,113.76
2022-04-25,113.92
2022-04-26,114.75
2022-04-27,115.53
2022-04-28,115.89
2022-04-29,115.76
2022-05-02,115.53
2022-05-03,116.47
2022-05-04,117.1
2022-05-05,116.92
2022-05-06,118.08
2022-05-09,118.04
2022-05-10,117.26
2022-05-11,116.58
2022-05-12,115.69
2022-05-13,115.49
2022-05-16,116.81
2022-05-17,116.08
2022-05-18,116.35
2022-05-19,115.77
2022-05-20,115.59
2022-05-23,114.16
2022-05-24,114.02
2022-05-25,113.91
2022-05-26,114.53
2022-05-27,114.83
2022-05-30,113.71
2022-05-31,114.88
2022-06-01,115.17
2022-06-02,115.45
2022-06-03,115.52
2022-06-06,115.08
2022-06-07,115.38
2022-06-08,115.93
2022-06-09,114.27
2022-06-10,113.81
2022-06-13,113.63
2022-06-14,113.97
2022-06-15,115.24
2022-06-16,114.55
2022-06-17,114.13
2022-06-20,113.7
2022-06-21,112.98
2022-06-22,112.71
2022-06-23,113.56
2022-06-24,112.59
2022-06-27,113.1
2022-06-28,111.47
2022-06-29,110.99
2022-06-30,110.74
2022-07-01,112.5
2022-07-04,112.3
2022-07-05,110.18
2022-07-06,108.26
2022-07-07,108.38
2022-07-08,109.07
2022-07-11,109.53
2022-07-12,109.77
2022-07-13,111.02
2022-07-14,110.56
2022-07-15,111.53
2022-07-18,109.98
2022-07-19,109.16
2022-07-20,107.43
2022-07-21,107.23
2022-07-22,107.27
2022-07-25,107.46
2022-07-26,107.6
2022-07-27,106.76
2022-07-28,106.65
2022-07-29,105.23
2022-08-01,106.67
2022-08-02,106.45
2022-08-03,106.04
2022-08-04,107.71
2022-08-05,106.55
2022-08-08,105.5
2022-08-09,104.48
2022-08-10,104.5
2022-08-11,105.01
2022-08-12,105.83
2022-08-15,108.48
2022-08-16,106.31
2022-08-17,107.0
2022-08-18,106.52
2022-08-19,106.01
2022-08-22,105.47
2022-08-23,104.65
2022-08-24,106.41
2022-08-25,107.33
2022-08-26,107.44
2022-08-29,108.87
2022-08-30,107.43
2022-08-31,106.18
2022-09-01,104.09
2022-09-02,103.47
2022-09-05,103.71
2022-09-06,103.89
2022-09-07,104.12
2022-09-08,102.79
2022-09-09,103.67
2022-09-12,103.99
2022-09-13,104.8
2022-09-14,102.99
2022-09-15,103.38
2022-09-16,102.28
2022-09-19,101.96
2022-09-20,102.57
2022-09-21,102.74
2022-09-22,101.97
2022-09-23,102.06
2022-09-26,100.61
2022-09-27,101.84
2022-09-28,101.71
2022-09-29,102.91
2022-09-30,102.46
2022-10-03,102.02
2022-10-04,101.34
2022-10-05,102.29
2022-10-06,101.66
2022-10-07,102.39
2022-10-10,102.09
2022-10-11,100.19
2022-10-12,99.7
2022-10-13,98.6
2022-10-14,98.71
2022-10-17,97.6
2022-10-18,98.61
2022-10-19,98.6
2022-10-20,98.5
2022-10-21,99.24
2022-10-24,100.28
2022-10-25,100.34
2022-10-26,99.65
2022-10-27,97.96
2022-10-28,97.35
2022-10-31,96.81
2022-11-01,97.0
2022-11-02,96.73
2022-11-03,97.5
2022-11-04,96.97
2022-11-07,96.99
2022-11-08,98.26
2022-11-09,98.68
2022-11-10,98.7
2022-11-11,98.18
2022-11-14,97.62
2022-11-15,96.85
2022-11-16,96.39
2022-11-17,97.23
2022-11-18,97.08
2022-11-21,95.81
2022-11-22,97.66
2022-11-23,98.06
2022-11-24,96.74
2022-11-25,96.37
2022-11-28,96.57
2022-11-29,98.35
2022-11-30,97.32
2022-12-01,98.38
2022-12-02,99.86
2022-12-05,99.31
2022-12-06,99.11
2022-12-07,98.15
2022-12-08,98.03
2022-12-09,98.07
2022-12-12,98.81
2022-12-13,99.98
2022-12-14,99.32
