Date,NAV
2022-01-03,100.96
2022-01-04,99.8
2022-01-05,98.62
2022-01-06,98.13
2022-01-07,99.65
2022-01-10,99.23
2022-01-11,97.42
2022-01-12,97.27
2022-01-13,95.37
2022-01-14,94.39
2022-01-17,93.89
2022-01-18,94.12
2022-01-19,95.22
2022-01-20,95.99
2022-01-21,94.89
2022-01-24,94.6
2022-01-25,94.76
2022-01-26,94.58
2022-01-27,94.39
2022-01-28,92.74
2022-01-31,91.67
2022-02-01,91.35
2022-02-02,88.34
2022-02-03,89.06
2022-02-04,87.76
2022-02-07,88.53
2022-02-08,89.21
2022-02-09,88.75
2022-02-10,89.83
2022-02-11,90.65
2022-02-14,90.42
2022-02-15,90.08
2022-02-16,91.26
2022-02-17,91.57
2022-02-18,92.69
2022-02-21,90.38
2022-02-22,90.56
2022-02-23,89.06
2022-02-24,89.12
2022-02-25,89.91
2022-02-28,91.73
2022-03-01,90.87
2022-03-02,90.43
2022-03-03,90.41
2022-03-04,89.52
2022-03-07,90.58
2022-03-08,90.59
2022-03-09,90.79
2022-03-10,91.49
2022-03-11,91.5
2022-03-14,90.76
2022-03-15,90.78
2022-03-16,90.0
2022-03-17,90.19
2022-03-18,91.27
2022-03-21,90.17
2022-03-22,88.72
2022-03-23,88.85
2022-03-24,88.16
2022-03-25,88.27
2022-03-28,88.67
2022-03-29,86.61
2022-03-30,87.38
2022-03-31,86.29
2022-04-01,86.35
2022-04-04,85.77
2022-04-05,85.29
2022-04-06,87.07
2022-04-07,87.47
2022-04-08,88.45
2022-04-11,88.68
2022-04-12,89.38
2022-04-13,89.88
2022-04-14,90.21
2022-04-15,91.4
2022-04-18,91.64
2022-04-19,94.0
2022-04-20,95.04
2022-04-21,93.98
2022-04-22,93.89
2022-04-25,94.37
2022-04-26,94.49
2022-04-27,95.26
2022-04-28,96.13
2022-04-29,94.85
2022-05-02,96.22
2022-05-03,95.8
2022-05-04,95.28
2022-05-05,94.76
2022-05-06,95.65
2022-05-09,95.46
2022-05-10,94.88
2022-05-11,94.54
2022-05-12,92.82
2022-05-13,92.06
2022-05-16,90.9
2022-05-17,90.71
2022-05-18,91.46
2022-05-19,92.09
2022-05-20,93.43
2022-05-23,94.54
2022-05-24,94.09
2022-05-25,94.19
2022-05-26,94.24
2022-05-27,92.17
2022-05-30,91.03
2022-05-31,90.94
2022-06-01,90.85
2022-06-02,91.44
2022-06-03,91.99
2022-06-06,90.3
2022-06-07,90.89
2022-06-08,91.15
2022-06-09,91.86
2022-06-10,93.0
2022-06-13,92.94
2022-06-14,94.27
2022-06-15,93.46
2022-06-16,92.59
